trace,L_class_number,commutator_class_number,genus
38766,48,48.0,"[[(6, 70, 190)], array([list([[-37195, 23336], [2504, -1571]]),
       list([[-52459, 19592], [-36664, 13693]]),
       list([[-38003, -3944], [-7352, -763]]),
       list([[-52395, 20744], [-34424, 13629]]),
       list([[-55667, 22664], [-41512, 16901]]),
       list([[-29707, 19592], [13736, -9059]]),
       list([[-42763, 17272], [-9896, 3997]]),
       list([[-61667, 27544], [-51272, 22901]]),
       list([[-39187, -2008], [8216, 421]]),
       list([[-37539, -2392], [-19256, -1227]])], dtype=object)]"
38802,78,78.0,1
38846,12,12.0,2
38910,96,96.0,1
38914,12,12.0,2
39022,28,28.0,1
39058,48,48.0,1
39102,36,36.0,"[[(6, 70, 202), (10, 42, 154), (10, 70, 70), (22, 22, 106)], array([list([[-36823, 28048], [2992, -2279]]),
       list([[-38183, 11728], [2992, -919]]),
       list([[-37527, -2416], [-24464, -1575]]),
       list([[-37815, -2416], [-20144, -1287]]),
       list([[-37591, 28400], [2000, -1511]]),
       list([[-37511, 29840], [2000, -1591]]),
       list([[-37911, -1360], [-33200, -1191]])], dtype=object)]"
39150,92,92.0,1
39166,36,36.0,1
39170,28,28.0,1
39186,66,66.0,1
39234,44,44.0,"[[(-6, 70, 70), (-6, 10, 170)], array([list([[41225, -4496], [18256, -1991]]),
       list([[39833, -3664], [6512, -599]]),
       list([[44377, 21008], [-10864, -5143]]),
       list([[41289, -5104], [16624, -2055]]),
       list([[31193, 16624], [15088, 8041]]),
       list([[31913, 28688], [8144, 7321]]),
       list([[40297, -2384], [17968, -1063]]),
       list([[34873, 17968], [8464, 4361]]),
       list([[39433, -2416], [3248, -199]]),
       list([[39433, -3248], [2416, -199]])], dtype=object)]"
39278,44,44.0,1
39314,20,20.0,"[[(-10, 46, 70), (-10, 10, 154)], array([list([[58765, 28536], [-40056, -19451]]),
       list([[65893, 31992], [-54744, -26579]])], dtype=object)]"
39422,16,16.0,2
39426,48,48.0,"[[(-14, 42, 58), (-10, 38, 82), (-6, 22, 142)], array([list([[41153, -4064], [17488, -1727]]),
       list([[33249, 17488], [11744, 6177]]),
       list([[40385, -2144], [18064, -959]]),
       list([[39777, -2144], [6512, -351]]),
       list([[50961, 24976], [-23536, -11535]]),
       list([[50961, 23536], [-24976, -11535]])], dtype=object)]"
39490,52,52.0,1
39534,56,56.0,1
39570,142,142.0,1
39678,52,52.0,1
39746,6,6.0,2
39870,116,116.0,1
39918,52,52.0,1
39954,48,48.0,"[[(-10, 50, 66), (-10, 34, 90)], array([list([[41541, -5128], [12856, -1587]]),
       list([[43229, -10616], [13336, -3275]]),
       list([[43229, -13336], [10616, -3275]]),
       list([[40277, -3272], [3976, -323]]),
       list([[41277, -2776], [19672, -1323]]),
       list([[27069, 23656], [14744, 12885]])], dtype=object)]"
40002,136,136.0,0
40174,52,52.0,0
40194,50,50.0,0
40210,40,40.0,0
40302,96,96.0,0
40338,70,70.0,0
40430,72,72.0,0
40446,28,28.0,0
40466,24,24.0,0
40638,28,28.0,0
40686,72,72.0,0
40722,58,58.0,0
40770,36,36.0,0
40894,60,60.0,0
40962,128,128.0,0
41070,72,72.0,0
41106,68,68.0,0
41150,8,8.0,0
41214,68,68.0,0
41218,74,74.0,0
41326,24,24.0,0
41362,44,44.0,0
41406,88,88.0,0
41454,72,72.0,0
41470,44,44.0,0
41474,36,36.0,0
41490,76,76.0,0
41538,64,64.0,0
41582,38,38.0,0
41618,66,66.0,0
41726,58,58.0,0
41730,44,44.0,0
41794,4,4.0,0
41838,80,80.0,0
41874,70,70.0,0
41982,60,60.0,0
42050,106,106.0,0
42174,32,32.0,0
42222,76,76.0,0
42258,84,84.0,0
42306,28,28.0,0
42478,24,24.0,0
42498,100,100.0,0
42514,50,50.0,0
42606,60,60.0,0
42642,46,46.0,0
42734,24,24.0,0
42750,160,160.0,0
42770,84,84.0,0
42942,134,134.0,0
42990,88,88.0,0
43026,56,56.0,0
43074,50,50.0,0
43198,16,16.0,0
43266,149,149.0,0
43374,44,44.0,0
43410,82,82.0,0
43454,94,94.0,0
43518,52,52.0,0
43522,8,8.0,0
43630,48,48.0,0
43666,22,22.0,0
43710,60,60.0,0
43758,92,92.0,0
43774,18,18.0,0
43778,10,10.0,0
43794,68,68.0,0
43842,54,54.0,0
43886,30,30.0,0
43922,10,10.0,0
44030,24,24.0,0
44034,46,46.0,0
44098,52,52.0,0
44142,36,36.0,0
44178,110,110.0,0
44286,40,40.0,0
44354,10,10.0,0
44478,100,100.0,0
44526,100,100.0,0
44562,84,84.0,0
44610,194,194.0,0
44782,48,48.0,0
44802,72,72.0,0
44818,32,32.0,0
44910,92,92.0,0
44946,96,96.0,0
45038,48,48.0,0
45054,84,84.0,0
45074,40,40.0,0
45246,56,56.0,0
45294,80,80.0,0
45330,68,68.0,0
45378,44,44.0,0
45502,44,44.0,0
45570,66,66.0,0
45678,76,76.0,0
45714,36,36.0,0
45758,20,20.0,0
45822,58,58.0,0
45826,20,20.0,0
45934,12,12.0,0
45970,84,84.0,0
46014,88,88.0,0
46062,72,72.0,0
46078,56,56.0,0
46082,40,40.0,0
46098,144,144.0,0
46146,68,68.0,0
46190,16,16.0,0
46226,32,32.0,0
46334,36,36.0,0
46338,56,56.0,0
46402,36,36.0,0
46446,56,56.0,0
46482,76,76.0,0
46590,64,64.0,0
46658,114,114.0,0
46782,36,36.0,0
46830,84,84.0,0
46866,76,76.0,0
46914,30,30.0,0
47086,24,24.0,0
47106,92,92.0,0
47122,30,30.0,0
47214,84,84.0,0
47250,64,64.0,0
47342,68,68.0,0
47358,52,52.0,0
47378,24,24.0,0
47550,224,224.0,0
47598,88,88.0,0
47634,112,112.0,0
47682,86,86.0,0
47806,22,22.0,0
47874,72,72.0,0
47982,108,108.0,0
48018,118,118.0,0
48062,40,40.0,0
48126,106,106.0,0
48130,60,60.0,0
48238,72,72.0,0
48274,32,32.0,0
48318,18,18.0,0
48366,30,30.0,0
48382,24,24.0,0
48386,36,36.0,0
48402,91,91.0,0
48450,50,50.0,0
48494,28,28.0,0
48530,84,84.0,0
48638,28,28.0,0
48642,40,40.0,0
48706,28,28.0,0
48750,116,116.0,0
48786,38,38.0,0
48894,164,164.0,0
48962,16,16.0,0
49086,112,112.0,0
49134,96,96.0,0
49170,92,92.0,0
49218,120,120.0,0
49390,28,28.0,0
49410,152,152.0,0
49426,60,60.0,0
49518,80,80.0,0
49554,68,68.0,0
49646,38,38.0,0
49662,64,64.0,0
49682,40,40.0,0
49854,38,38.0,0
49902,108,108.0,0
49938,72,72.0,0
