"trace","L_class_number","commutator_class_number","genus"
71022,72,72.,0
71058,124,124.,0
71102,156,156.,0
71166,68,68.,0
71170,56,56.,0
71278,60,60.,0
71314,32,32.,0
71358,56,56.,0
71406,96,96.,0
71422,68,68.,0
71426,48,48.,0
71442,120,120.,0
71490,76,76.,0
71534,68,68.,0
71570,42,42.,0
71678,64,64.,0
71682,96,96.,0
71746,80,80.,0
71790,156,156.,0
71826,147,147.,0
71934,68,68.,0
72002,18,18.,0
72126,90,90.,0
72174,108,108.,0
72210,124,124.,0
72258,184,184.,0
72430,104,104.,0
72450,128,128.,0
72466,40,40.,0
72558,110,110.,0
72594,78,78.,0
72686,44,44.,0
72702,128,128.,0
72722,78,78.,0
72894,48,48.,0
72942,134,134.,0
72978,98,98.,0
73026,36,36.,0
73150,64,64.,0
73218,96,96.,0
73326,68,68.,0
73362,88,88.,0
73406,20,20.,0
73470,124,124.,0
73474,14,14.,0
73582,30,30.,0
73618,114,114.,0
73662,226,226.,0
73710,92,92.,0
73726,64,64.,0
73730,86,86.,0
73746,122,122.,0
73794,96,96.,0
73838,30,30.,0
73874,62,62.,0
73982,80,80.,0
73986,175,175.,0
74050,50,50.,0
74094,120,120.,0
74130,114,114.,0
74238,60,60.,0
74306,52,52.,0
74430,88,88.,0
74478,120,120.,0
74514,94,94.,0
74562,64,64.,0
74734,44,44.,0
74754,164,164.,0
74770,32,32.,0
74862,124,124.,0
74898,122,122.,0
74990,124,124.,0
75006,88,88.,0
75026,10,10.,0
75198,112,112.,0
75246,44,44.,0
75282,100,100.,0
75330,142,142.,0
75454,32,32.,0
75522,108,108.,0
75630,128,128.,0
75666,60,60.,0
75710,108,108.,0
75774,140,140.,0
75778,66,66.,0
75886,56,56.,0
75922,56,56.,0
75966,28,28.,0
76014,116,116.,0
76030,44,44.,0
76034,36,36.,0
76050,250,250.,0
76098,126,126.,0
76142,86,86.,0
76178,104,104.,0
76286,36,36.,0
76290,82,82.,0
76354,60,60.,0
76398,164,164.,0
76434,92,92.,0
76542,184,184.,0
76610,48,48.,0
76734,120,120.,0
76782,120,120.,0
76818,116,116.,0
76866,164,164.,0
77038,52,52.,0
77058,128,128.,0
77074,46,46.,0
77166,88,88.,0
77202,144,144.,0
77294,40,40.,0
77310,108,108.,0
77330,56,56.,0
77502,82,82.,0
77550,116,116.,0
77586,114,114.,0
77634,40,40.,0
77758,60,60.,0
77826,104,104.,0
77934,112,112.,0
77970,126,126.,0
78014,50,50.,0
78078,72,72.,0
78082,92,92.,0
78190,52,52.,0
78226,38,38.,0
78270,172,172.,0
78318,84,84.,0
78334,32,32.,0
78338,82,82.,0
78354,58,58.,0
78402,258,258.,0
78446,56,56.,0
78482,28,28.,0
78590,50,50.,0
78594,80,80.,0
78658,8,8.,0
78702,220,220.,0
78738,132,132.,0
78846,120,120.,0
78914,30,30.,0
79038,100,100.,0
79086,88,88.,0
79122,128,128.,0
79170,66,66.,0
79342,72,72.,0
79362,76,76.,0
79378,102,102.,0
79470,184,184.,0
79506,84,84.,0
79598,92,92.,0
79614,128,128.,0
79634,76,76.,0
79806,150,150.,0
79854,92,92.,0
79890,140,140.,0
79938,168,168.,0
80062,12,12.,0
80130,208,208.,0
80238,104,104.,0
80274,150,150.,0
80318,58,58.,0
80382,116,116.,0
80386,16,16.,0
80494,40,40.,0
80530,80,80.,0
80574,48,48.,0
80622,134,134.,0
80638,108,108.,0
80642,24,24.,0
80658,132,132.,0
80706,32,32.,0
80750,44,44.,0
80786,60,60.,0
80894,50,50.,0
80898,276,276.,0
80962,104,104.,0
81006,78,78.,0
81042,110,110.,0
81150,172,172.,0
81218,14,14.,0
81342,340,340.,0
81390,156,156.,0
81426,72,72.,0
81474,196,196.,0
81646,68,68.,0
81666,82,82.,0
81682,42,42.,0
81774,84,84.,0
81810,202,202.,0
81902,100,100.,0
81918,120,120.,0
81938,44,44.,0
82110,56,56.,0
82158,108,108.,0
82194,52,52.,0
82242,66,66.,0
82366,46,46.,0
82434,100,100.,0
82542,104,104.,0
82578,120,120.,0
82622,50,50.,0
82686,88,88.,0
82690,130,130.,0
82798,72,72.,0
82834,32,32.,0
82878,148,148.,0
82926,100,100.,0
82942,126,126.,0
82946,113,113.,0
82962,122,122.,0
83010,158,158.,0
83054,36,36.,0
83090,102,102.,0
83198,52,52.,0
83202,134,134.,0
83266,66,66.,0
83310,158,158.,0
83346,84,84.,0
83454,52,52.,0
83522,52,52.,0
83646,44,44.,0
83694,112,112.,0
83730,142,142.,0
83778,62,62.,0
83950,42,42.,0
83970,120,120.,0
83986,66,66.,0
84078,172,172.,0
84114,120,120.,0
84206,28,28.,0
84222,60,60.,0
84242,54,54.,0
84414,192,192.,0
84462,152,152.,0
84498,176,176.,0
84546,116,116.,0
84670,46,46.,0
84738,76,76.,0
84846,88,88.,0
84882,94,94.,0
84926,76,76.,0
84990,204,204.,0
84994,52,52.,0
85102,88,88.,0
85138,46,46.,0
85182,80,80.,0
85230,140,140.,0
85246,24,24.,0
85250,106,106.,0
85266,151,151.,0
85314,54,54.,0
85358,92,92.,0
85394,28,28.,0
85502,40,40.,0
85506,68,68.,0
85570,72,72.,0
85614,88,88.,0
85650,186,186.,0
85758,236,236.,0
85826,24,24.,0
85950,200,200.,0
